,itemid,shopid,goods_title,goods_price,goods_judge_num,bestJudgeNum,midJudgeNum,worstJudgeNum,goods_addr,goods_url,grab_time
0,142743311,0000000000,【苏宁易购超市】蒙牛 真果粒 混合口味牛奶饮品 250g*24盒 （草莓+黄桃+椰果+芦荟） 缤纷礼盒装 蒙牛(MENGNIU)风味奶?【价格 图片 品牌 报价】-苏宁易购蒙牛官方旗舰店,54.90,9103.0,9019.0,45.0,39.0,1,http://product.suning.com/0000000000/142743311.html,2017-06-10 18:06:09
1,103995029,0000000000,【苏宁易购超市】蒙牛 真果粒 黄桃果粒牛奶饮品 250g*12盒 礼盒装 蒙牛风味奶?【价格 图片 品牌 报价】-苏宁易购蒙牛官方旗舰店,35.70,5240.0,5147.0,59.0,34.0,1,http://product.suning.com/0000000000/103995029.html,2017-06-10 18:06:20
2,104618702,0000000000,【苏宁易购超市】蒙牛 真果粒 草莓果粒牛奶饮品 250g*12盒 礼盒装 蒙牛风味奶?【价格 图片 品牌 报价】-苏宁易购蒙牛官方旗舰店,35.70,5761.0,5657.0,61.0,43.0,1,http://product.suning.com/0000000000/104618702.html,2017-06-10 18:06:31
3,182883668,0070078374,【中粮我买网】蒙牛真果粒缤纷礼盒装（草莓桃果芦荟椰果）250g*24/箱 蒙牛(MENGNIU)风味奶?【价格 图片 品牌 报价】-苏宁易购蒙牛官方旗舰店,54.90,194.0,192.0,1.0,1.0,1,http://product.suning.com/0070078374/182883668.html,2017-06-10 18:06:42
4,132450184,0070078374,蒙牛真果粒牛奶(草莓果粒）250ml*12/箱 我买网(womai.com)风味奶?【价格 图片 品牌 报价】-苏宁易购中粮我买网官方旗舰店,39.80,29.0,29.0,0.0,0.0,1,http://product.suning.com/0070078374/132450184.html,2017-06-10 18:06:54
5,159324169,0070071746,七果果 蒙牛真果粒芦荟果粒12盒装 250ml一盒 牛奶乳品 产地直发BY 七果果低温乳品【价格 图片 品牌 报价】-苏宁易购七果果旗舰店,41.00,8.0,8.0,0.0,0.0,1,http://product.suning.com/0070071746/159324169.html,2017-06-10 18:07:05
6,159330515,0070071746,七果果 蒙牛真果粒黄桃果粒12盒装 250ml一盒 牛奶乳品 产地直发BY 七果果低温乳品【价格 图片 品牌 报价】-苏宁易购七果果旗舰店,41.00,3.0,3.0,0.0,0.0,1,http://product.suning.com/0070071746/159330515.html,2017-06-10 18:07:16
7,159323936,0070071746,七果果 蒙牛真果粒草莓果粒12盒装 250ml一盒 牛奶乳品 产地直发BY 七果果低温乳品【价格 图片 品牌 报价】-苏宁易购七果果旗舰店,41.00,8.0,8.0,0.0,0.0,1,http://product.suning.com/0070071746/159323936.html,2017-06-10 18:07:27
8,611081528,0070161042,JP潮流品牌citycase oppor9手机壳套个性创意潮男女款oppor9plus可爱 机伴保护壳/套维他奶-oppor9/r9plus系列【价格 图片 品牌 报价】-苏宁易购贝铎数码专营店,88.00,0.0,0.0,0.0,0.0,1,http://product.suning.com/0070161042/611081528.html,2017-06-10 18:07:38
9,628164053,0070166014,SHM品牌citycase 苹果5s手机壳硅胶个性可爱se创意iphone5挂绳女款潮红色 深迈(ShenMai)保护壳/套维他奶-苹果5s/se系列【价格 图片 品牌 报价】-苏宁易购众团专营店,78.00,0.0,0.0,0.0,0.0,1,http://product.suning.com/0070166014/628164053.html,2017-06-10 18:07:49
10,611076104,0070161042,JP潮流品牌citycase iphone7plus手机壳套个性创意七苹果7红侣潮男女 机伴保护壳/套维他奶-苹果7/7plus系列【价格 图片 品牌 报价】-苏宁易购贝铎数码专营店,88.00,0.0,0.0,0.0,0.0,1,http://product.suning.com/0070161042/611076104.html,2017-06-10 18:08:00
11,628157601,0070166014,SHM品牌citycase oppor9s手机壳女款潮oppor9splus可爱个性创意情 深迈(ShenMai)保护壳/套维他奶-oppor9s/r9splus系列【价格 图片 品牌 报价】-苏宁易购众团专营店,78.00,0.0,0.0,0.0,0.0,1,http://product.suning.com/0070166014/628157601.html,2017-06-10 18:08:12
12,628162176,0070166014,SHM品牌citycase iphone7plus手机壳套个性创意七苹果7红侣潮男女款 深迈(ShenMai)保护壳/套维他奶-苹果7/7plus系列【价格 图片 品牌 报价】-苏宁易购众团专营店,78.00,0.0,0.0,0.0,0.0,1,http://product.suning.com/0070166014/628162176.html,2017-06-10 18:08:23
13,628159571,0070166014,SHM品牌citycase 苹果6s手机壳创意个性六iphone6plus潮牌红侣男女 深迈(ShenMai)保护壳/套维他奶-苹果6/6s系列【价格 图片 品牌 报价】-苏宁易购众团专营店,78.00,0.0,0.0,0.0,0.0,1,http://product.suning.com/0070166014/628159571.html,2017-06-10 18:08:34
14,628160202,0070166014,SHM品牌citycase vivox7手机壳硅胶套x7红色vivox7plus男女款潮个 深迈(ShenMai)保护壳/套维他奶-vivox7/x7plus系列【价格 图片 品牌 报价】-苏宁易购众团专营店,78.00,0.0,0.0,0.0,0.0,1,http://product.suning.com/0070166014/628160202.html,2017-06-10 18:08:45
15,628163438,0070166014,SHM品牌citycase oppor9手机壳套个性创意潮男女款oppor9plus可爱卡 深迈(ShenMai)保护壳/套维他奶-oppor9/r9plus系列【价格 图片 品牌 报价】-苏宁易购众团专营店,78.00,0.0,0.0,0.0,0.0,1,http://product.suning.com/0070166014/628163438.html,2017-06-10 18:08:56
16,611080615,0070161042,JP潮流品牌citycase 苹果5s手机壳硅胶个性可爱se创意iphone5挂绳女款潮红 机伴保护壳/套维他奶-苹果5s/se系列【价格 图片 品牌 报价】-苏宁易购贝铎数码专营店,88.00,0.0,0.0,0.0,0.0,1,http://product.suning.com/0070161042/611080615.html,2017-06-10 18:09:07
17,611076856,0070161042,JP潮流品牌citycase vivox7手机壳硅胶套x7红色vivox7plus男女款潮 机伴保护壳/套维他奶-vivox7/x7plus系列【价格 图片 品牌 报价】-苏宁易购贝铎数码专营店,88.00,0.0,0.0,0.0,0.0,1,http://product.suning.com/0070161042/611076856.html,2017-06-10 18:09:18
18,611077361,0070161042,JP潮流品牌citycase oppor9s手机壳女款潮oppor9splus可爱个性创意 机伴保护壳/套维他奶-oppor9s/r9splus系列【价格 图片 品牌 报价】-苏宁易购贝铎数码专营店,88.00,0.0,0.0,0.0,0.0,1,http://product.suning.com/0070161042/611077361.html,2017-06-10 18:09:30
19,611075567,0070161042,JP潮流品牌citycase 苹果6s手机壳创意个性六iphone6plus潮牌红侣男 机伴保护壳/套维他奶-苹果6/6s系列【价格 图片 品牌 报价】-苏宁易购贝铎数码专营店,88.00,0.0,0.0,0.0,0.0,1,http://product.suning.com/0070161042/611075567.html,2017-06-10 18:09:41
