,itemid,shopid,id,rateContent,rateDate,grab_time
0,174748692,0000000000,1.0,物美价廉,2017-06-10 15:13:15,2017-06-10 17:07:50
1,174748692,0000000000,2.0,给父母买的，直接送回家了，打电话说日期很新鲜，五月份的。一直在苏宁超市买东西，方便实惠。长期在外，发现老家也有苏宁易购店了，以后给父母买东西也方便了。,2017-06-10 13:12:10,2017-06-10 17:07:50
2,174748692,0000000000,3.0,口感不错，活动价划算,2017-06-10 11:51:28,2017-06-10 17:07:50
3,174748692,0000000000,4.0,日期是4月8日的，比某东贵了三块多。,2017-06-10 11:17:45,2017-06-10 17:07:50
4,174748692,0000000000,5.0,日期新鲜，5月份生产的，看包装和口感，应该是正品,2017-06-10 10:58:50,2017-06-10 17:07:50
5,174748692,0000000000,6.0,速度快、价值实惠、生产日期也近、好评。以后还会买,2017-06-10 10:57:53,2017-06-10 17:07:50
6,174748692,0000000000,7.0,好,2017-06-10 09:35:58,2017-06-10 17:07:50
7,174748692,0000000000,8.0,不错,2017-06-10 09:14:24,2017-06-10 17:07:50
8,174748692,0000000000,9.0,不错，好喝实在，,2017-06-09 21:16:26,2017-06-10 17:07:50
9,174748692,0000000000,10.0,好评好评………………………………,2017-06-09 18:39:42,2017-06-10 17:07:50
10,174748692,0000000000,1.0,好好好,2017-05-22 19:56:10,2017-06-10 17:07:50
11,174748692,0000000000,2.0,不咋的,2017-05-18 16:26:34,2017-06-10 17:07:50
12,174748692,0000000000,3.0,还有两个月不到就过期了,2017-03-29 21:27:43,2017-06-10 17:07:50
13,174748692,0000000000,4.0,最失败的一次购物，正价买的、生产日期居然还是2016年的,2017-03-25 19:21:59,2017-06-10 17:07:50
14,174748692,0000000000,5.0,日期太旧，商品宣传含钙量百分15到手的只写百分14,2017-03-19 23:00:00,2017-06-10 17:07:50
15,174748692,0000000000,6.0,包装的很好，只可惜临期，也太临期了(),2017-03-16 21:15:22,2017-06-10 17:07:50
16,174748692,0000000000,7.0,物流比***慢,2017-03-16 07:47:25,2017-06-10 17:07:50
17,174748692,0000000000,8.0,日期快到了。,2017-03-16 07:44:58,2017-06-10 17:07:50
18,174748692,0000000000,9.0,性价比可以，好吃的。,2017-03-15 18:18:13,2017-06-10 17:07:50
